序号/回输入界面,Unnamed: 1,构件A型钢参数,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
代号,施工图号,子项,名称,规格,单位,材质,公称直径 DN,外径 mm
Q3,图C.15-3,A,角钢,∠50x6,m,Q235B,6,10.2
,,B,角钢,∠75x7,m,Q235B,8,13.5
,,C,角钢,∠100x10,m,Q235B,10,17.2
,,,,,,,15,21.3
,,,,,,,20,26.9
,,,,,,,25,33.7
,,,,,,,32,42.4
,,,,,,,40,48.3
,,,,,,,50,60.3
,,,,,,,65,76.1
,,,,,,,80,88.9
,,,,,,,100,114.3
,,,,,,,125,139.7
,,,,,,,150,168.3
,,,,,,,200,219.1
,,,,,,,250,273
,,,,,,,300,323.9
,,,,,,,350,355.6
,,,,,,,400,406.4
,,,,,,,450,457
,,,,,,,500,508
,,,,,,,550,559
,,,,,,,600,610
,,,,,,,650,660
,,,,,,,700,711
,,,,,,,750,762
,,,,,,,800,813
,,,,,,,850,864
,,,,,,,900,914
,,,,,,,950,965
,,,,,,,1000,1016
,,,,,,,1050,1067
,,,,,,,1100,1118
,,,,,,,1150,1168
,,,,,,,1200,1219
