序号,名称及编码,规格,等级,设计量,设计裕量,总量,单位,单重(Kg),总重(Kg),技术条件,备注,修改,材质,单位表面积m/m2,零件面积m2
,H型钢,H250x250x9x14,,11.89999999999999,,,m,70.63,840.4969999999992,Q235B GB/T 706,,,Q235B,1.48,17.611999999999984
,H型钢,H150x150x7x10,,0.8,,,m,30.69,24.552000000000003,Q235B GB/T 706,,,Q235B,0.88,0.7040000000000001
,H型钢,H125x125x6.5x9,,12.020000000000001,,,m,23.12,277.90240000000006,Q235B GB/T 706,,,Q235B,0.73,8.774600000000001
,H型钢,H100x100x6x8,,12.0,,,m,16.51,198.12,Q235B GB/T 706,,,Q235B,0.58,6.959999999999999
,小 计,,,36.71999999999999,,,m,,1341.0713999999994,,,,,,
,,,,,,,,,,,,,,,
,PTFE滑板,δ=6,,0.01256,,,m²,2.2,0.027632000000000004,PTFE QB/T 5257 Ⅰ型,,,PTFE,0.0,0.0
,小 计,,,0.01256,,,m²,,0.027632000000000004,,,,,,
,,,,,,,,,,,,,,,
,U型螺栓,A1-200-C1,,2.0,,,套,,,Q235B HG/T 21629,,,Q235B,,
,小 计,,,2.0,,,套,,0.0,,,,,,
,,,,,,,,,,,,,,,
,标准型2螺栓管夹,A2-65-C1,,4.0,,,套,,,Q235B HG/T 21629,,,Q235B,,
,小 计,,,4.0,,,套,,0.0,,,,,,
,,,,,,,,,,,,,,,
,槽钢,[25a,,1.5,,,m,27.5,41.25,Q235B GB/T 706,,,Q235B,0.722,1.083
,槽钢,[20a,,12.19705627484771,,,m,22.6,275.6534718115583,Q235B GB/T 706,,,Q235B,0.654,7.976874803750403
,槽钢,[14a,,10.36,,,m,14.5,150.22,Q235B GB/T 706,,,Q235B,0.48,4.972799999999999
,槽钢,[12.6,,8.2,,,m,12.4,101.67999999999999,Q235B GB/T 706,,,Q235B,0.435,3.5669999999999997
,槽钢,[10,,7.422539674441611,,,m,10.0,74.2253967444161,Q235B GB/T 706,,,Q235B,0.365,2.709226981171188
,槽钢,[8,,3.2,,,m,8.0,25.6,Q235B GB/T 706,,,Q235B,0.307,0.9824
,槽钢,[5,,0.8,,,m,5.4,4.32,Q235B GB/T 706,,,Q235B,0.226,0.18080000000000002
,小 计,,,43.67959594928932,,,m,,672.9488685559744,,,,,,
,,,,,,,,,,,,,,,
,钢板,δ=18,,0.2704,,,m²,141.3,38.20752,Q235B GB/T 709,,,Q235B,2.0,0.5408
,钢板,δ=12,,0.308709,,,m²,94.2,29.0803878,Q235B GB/T 709,,,Q235B,2.0,0.617418
,钢板,δ=10,,3.2162692500000003,,,m²,78.5,252.47713612500002,Q235B GB/T 709,,,Q235B,2.0,6.432538500000001
,钢板,δ=6,,0.6370318718,,,m²,47.1,30.00420116178,Q235B GB/T 709,,,Q235B,2.0,1.2740637436
,小 计,,,4.4324101218,,,m²,,349.76924508677996,,,,,,
,,,,,,,,,,,,,,,
,钢板,δ=1,,0.005,,,m²,7.85,0.03925,06Cr18Ni9 GB/T 709,,,06Cr18Ni9,2.0,0.01
,小 计,,,0.005,,,m²,,0.03925,,,,,,
,,,,,,,,,,,,,,,
,化学锚栓,M8x110,,16.0,,,套,,0.0,Q235B JB/ZQ 4757,,,Q235B,0.0,0.0
,化学锚栓,M8x120,,24.0,,,套,,0.0,Q235B JB/ZQ 4757,,,Q235B,0.0,0.0
,化学锚栓,M16x180,,16.0,,,套,,0.0,Q235B JB/ZQ 4757,,,Q235B,0.0,0.0
,小 计,,,56.0,,,套,,0.0,,,,,,
,,,,,,,,,,,,,,,
,角钢,∠200x14,,2.82842712474619,,,m,42.9,121.33952365161154,Q235B GB/T 706,,,Q235B,0.788,2.228800574299998
,角钢,∠100x10,,2.82842712474619,,,m,15.1,42.709249583667464,Q235B GB/T 706,,,Q235B,0.392,1.1087434329005064
,角钢,∠50x6,,52.66449999999998,,,m,4.46,234.8836699999999,Q235B GB/T 706,,,Q235B,0.196,10.322241999999997
,小 计,,,58.32135424949236,,,m,,398.9324432352789,,,,,,
,,,,,,,,,,,,,,,
,结构用无缝钢管,DN100,,0.8,,,m,16.08,12.863999999999999,Q235B Φ114.3x6.02 GB/T 8162,,,Q235B,0.358902,0.28712160000000003
,结构用无缝钢管,DN50,,14.0,,,m,5.44,76.16000000000001,Q235B Φ60.3x3.91 GB/T 8162,,,Q235B,0.189342,2.6507880000000004
,小 计,,,14.8,,,m,,89.02400000000002,,,,,,
,,,,,,,,,,,,,,,
,结构用无缝钢管,DN50,,2.0,,,m,5.44,10.88,20 Φ60.3x3.91 GB/T 8162,,,20,0.189342,0.378684
,小 计,,,2.0,,,m,,10.88,,,,,,
,,,,,,,,,,,,,,,
,六角头螺栓/螺母,M12x40,,8.0,,,套,,0.0,Q235B GB/T 5781/GB/T 41,,,Q235B,0.0,0.0
,小 计,,,8.0,,,套,,0.0,,,,,,
,,,,,,,,,,,,,,,
,膨胀锚栓,M8x120,,8.0,,,套,,0.0,Q235B JB/ZQ 4763,,,Q235B,0.0,0.0
,膨胀锚栓,M8x80,,40.0,,,套,,0.0,Q235B JB/ZQ 4763,,,Q235B,0.0,0.0
,膨胀锚栓,M12x120,,8.0,,,套,,0.0,Q235B JB/ZQ 4763,,,Q235B,0.0,0.0
,小 计,,,56.0,,,套,,0.0,,,,,,
,,,,,,,,,,,,,,,
,全螺纹螺柱/六角螺母,M36x150,,4.0,,,套,,0.0,35CrMo/30CrMo GB/T 901/GB/T 41,,,35CrMo/30CrMo,0.0,0.0
,小 计,,,4.0,,,套,,0.0,,,,,,
